,year,sentence
2504,1924,"Predicts increase in oil production in Canada BELGIUM PLANNING TWO BOND ISSUES; One to Provide $25,000,000 for Railroads in the Congo to Como First."
2505,1924,Bretons at Quimper hold demonstration against Herriot's anti-Catholic policy HERRIOT IS HOOTED BY CROWDS AT ROUBAIX; Bretons at Quimper Hold Great Protest Demonstration Against His Anti-Catholic Policy.
2506,1924, Duluth Six Beats Minneapolis.
2507,1924,"4-Party coalition forecast 4-PARTY COALITION FORECAST AS NEXT GERMAN MINISTRY; Socialists, Centrists and Democrats Fail to Get a Clear Majority in Reichstag."
2508,1924,Arrested in Paris in alleged passport counterfeiting plot ARREST ALLEGED CHIEF OF PASSPORT FORGERS; French Police Hold a Polish-American on His Way Here With His Huge Profits.
2509,1924,Career WHO'S WHO ON THE STAGE
2510,1924,W Ostermeyer confesses killing over $1.52 CONFESSES HE SLEW OLD MAN OVER $1.52; White Plains Prisoner Tells of Killing Wealthy Hermit in Bedford Hills Section.
2511,1924,"Seitz, D C, Jos Pulitzer WIFE OF CLAIMANT TO CZARDOM HERE; Grand Duchess Victoria Feodorovna Arrives on Paris for Two-Week Visit."
2512,1924, Nurses' Alumnae Mah Jong Party.
2513,1924,"Opposes proposed child labor amendment, sp art by W L Chenery CHILD LABOR FIGHT SHIFTS TO LEGISLATURES; Fate of Federal Amendment, Product of Controversy, May be Determined This Winter by Votes of State Lawmakers on Ratification"
2514,1924," EASTERN SCHOOLBOYS LOSE; Everett H.S. Eleven Beaten, 46 to 0, by Waite at Toledo."
2515,1924,U S Supreme Court defines Admiralty law on liability in suit for death of Capt T McCaffrey in explosion DEFINES AN ADMIRALTY LAW.; Supreme Court Cites Limits on Personal Injury Liability.
2516,1924,Amer Civil Liberties Union petitions Comr Graves for reinstatement FIGHT TO REINSTATE GLASSBERG IN SCHOOL; Civil Liberties Union Leaders Assert Attack by Legion Influenced Education Board.
2517,1924,Contracts to use No Pacific tracks between Twin Cities and Duluth Article 5 -- No Title
2518,1924, RIFLE MATCHES FOR YALE.; Fifteen Opponents on Schedule Announced at New Haven.
2519,1924,"The decree prohibiting the registration of left-hand driven motor vehicles in Uruguay, which was to have become effective March 4, 1925, has been revoked by the Municipal Council of Montevideo.   Notes on Trade and Industry Abroad"
2520,1924," $785,000,000 to Change Hands in a Week; Three Governments Make Settlements Here"
2521,1924,"Lr from L R Eastman, Pres of Merchants' Assn, to U S Supreme Court justices urging consideration of its report and bill pending in Cong before proceeding to report by Senior Circuit Court Judges WOULD AID REFORM IN BANKRUPTCY LAW; Merchants Association Asks the Supreme Court Justices to Consider Its Report."
2522,1924,"PINEHURST, N.C., Dec. 7. -- Several prominent New Yorkers will have their dogs compete in the Membership State of the Continental Field Trials Club here tomorrow and Tuesday. The event is confined strictly to amateurs and the dogs entered will be handled by their owners. The Continental is the oldest organization of its kind in the United States and its members include prominent business and professional men from all parts of the country.   FIELD TRIALS FOR DOGS.; Several New York Owners Have Entries for Pinehurst Tests."
2523,1924,"Ed, Alarm in Rorabackia ALARM IN RORABACKIA."
2524,1924,"WITH the new mode are wholly different but most inviting styles for young girls, in a great variety of new materials. Daytime frocks for general wear, sports suits and wraps are smart, winsome and artistic. The sports togs are jolly affairs this season, with the gay plaids and stripes, vivid colors and warm tinted Scotch and English goods.   NOVELTIES OF THE HOUR; Daytime Clothes for the Child -- Popular Tassels -- The Latest Word in Collars"
2525,1924, Front Page 3 -- No Title
2526,1924,Games NEWTOWN H.S. TAKES QUEENS RUN TITLE; Wins Cross-Country Honors for Third Straight Year -- Jamaica Team Second.
2527,1924,Comment Comment on Current Events in Sports
2528,1924,"PARIS, Dec. 6 (Associated Press). -- Complete success in putting a stop to the Communist agitation toward revolution was claimed by the Government tonight, and the Minister of the Interior, M. Chautemps, supreme head of the French Police, was able to express entire satisfaction with the manner in which his men ""nipped the action in the bud.""   300 Communists Rounded Up."
2529,1924,Election to Mass State House of Reprs contested by J Lucey Coolidge's Friend Appeals.
2530,1924,Lr on grape shipments to N Y C Statistics on Grapes.
2531,1924,"Private meeting of chief delegates to Rome meeting of Council to discuss postponement; Dr Benes makes statement; Spain signs CHAMBERLAIN WINS BACKING OF LEAGUE; Council, Meeting in Rome, Supports Him in Postponing Discussion of Protocol."
2532,1924, Article 4 -- No Title
2533,1924,"McGuire, J, and P killed; J McHugh hurt when train hits auto Brothers Killed In Crossing Crash."
2534,1924,"Assails critics of add of J D Rockefeller Jr to his Bible class PASTOR ATTACKS JOHN D. JR.'S CRITICS; Some Preachers Cheapen Themselves, the Gospel and the Church, Dr. Reisner Asserts."
2535,1924,"Tokio s to Pan-Pacific Club, stresses importance of France in Pacific STRESSES IMPORTANCE OF FRANCE IN PACIFIC; Japanese Foreign Office Attache Says Her Colonial Resources Might Decide Naval War."
2536,1924, Front Page 2 -- No Title
2537,1924,"ALBANY, Dec. 6. -- Sixty-two new corporations, with an aggregate capitalization of $1,630,000, were chartered today. They include:   New York Charters."
2538,1924,Review of campaign and forecast on eve of vote BORAH TO OPPOSE WORLD COURT PLAN URGED BY COOLIDGE; New Chairman of Foreign Relations Wants Tribunal Divorced From League.
2539,1924,"$60,000 gems of Mrs I I Bloomington seized MRS. BLOOMINGDALE'S $60,000 GEMS SEIZED BY CUSTOMS MEN; Officials Now Demand $120,000 Duty and Penalties for Undeclared Jewels."
2540,1924, CLAN CAMPBELL VICTOR.; Beats Don Luis in National Soccer Play -- Rochester Moose Lose.
2541,1924,Reports success of cooperative farming in Denmark BETTER STAGE DICTION TO SHOW PUBLIC HOW; Academy of Arts and Letters Medal to Walter Hampden Has Broad Significance -- Critics Agree Our Speech Is Bad
2542,1924, JOHNSON'S LEAGUE MAY ENDORSE LANDIS; Expected to Pass Resolution by 7-1 Vote at Gathering Here This Week.
2543,1924,"Quick, H, Invisible Woman Third of Herbert Quick's Trilogy of the West; THE INVISIBLE WOMAN. by Herbert Quick. 488 pp. Indianapolis: Bobbs-Merrill Company. $2."
2544,1924,"Alumni defeats Varsity PENN ALUMNI TEAM CONQUERS VARSITY; Lou Young and Wray Star as Oldtimers Beat Undefeated Eleven, 12 to 0."
2545,1924,"Ed, Insurance for workers INSURANCE FOR WORKERS."
2546,1924,H Van Slyke deported to N Y C MEXICO SENDS GIRL BACK TO NEW YORK; Helen Volt Slyke Lacked Papers Permitting Her to Land and Be Wed in Yucatan.
2547,1924,"Ed, Kansas in the cabinet KANSAS IN THE CABINET."
2548,1924,Associated Amer Chambers of Commerce cite outrages; ask for more protection from U S FOR GUN BOATS IN CHINA.; American Business Men Ask for Additional Protection.
2549,1924,Wife replies to suit with complete denial Rhinelander's Bride Replies to His Suit With Complete Denial of Deceit Charges
2550,1924, London Opposes Rumored Plan.
2551,1924, Front Page 1 -- No Title
2552,1924,"Yesterday's markets were featured by particularly violent movements in many directions. Possibly the outstanding development was that in not a single one of them was there any weakness. Irregularity developed in many cases, but at the close the securities market, the commodities and the foreign exchanges stood at higher prices -- although in some cases but fractionally -- than at the close of last week.   FINANCIAL MARKETS; Securities Irregular, but Exchanges and Commodities Again Work Higher."
2553,1924,"T Fritsch, German editor, Jailed for libel JAILED FOR WARBURG LIBEL.; German Editor Gets 3 Months for Calling Banker ""Secret Kaiser."""
2554,1924,Construction of 12 warships recommended by naval com of Chamber of Deputies 12 WARSHIPS FOR BRAZIL.; Chamber Committee Recommends Naval Expansion.
2555,1924,"Federal Council of Churches of Christ in America, discussion at Atlanta meeting Barring of Chaplains Strongly Opposed."
2556,1924, Front Page 2 -- No Title
2557,1924,Low prices realized by Me potato growers may force closing of schools in No Aroostook Co Poverty of Potato Farmers May Close Schools in Maine
2558,1924,"NEW HAVEN, Conn., Dec. 6. -- Yale Winter and Spring sport teams today began their practice season when they reported to captains and coaches by squads, in accordance with the Yale tradition, which turns its back on its Fall athletic schedule and faces the events of the following year at the first December week-end.   MANY YALE SQUADS START WORKOUTS; Football Men Join Hockey, Crew, Basketball, Wrestling and Boxing Candidates."
2559,1924,Operated on Representative Appleby Operated On
2560,1924,Literary gossip from London Literary Gossip in London
2561,1924,"Preparation for drive on Postal Pay bill EDGE TO FORCE VETO OF POSTAL PAY RISE TO TEST IN SENATE; Administration Members Agree, Although Doubtful of Sustaining Coolidge."
2562,1924," FUENTE IS REPORTED ON WAY TO MEXICO; Wires Officials He Will Be Ready to Box Homer Smith Jan. 1 -- Expect 35,000 Crowd."
2563,1924, MORE MISSIONARIES KIDNAPPED IN CHINA BY ROAMING BANDITS; American Priests and Two Nuns Are Carried Off in Hunan Province.
2564,1924,Ed CIPRIANO CASTRO.
2565,1924, M'NAMARA WINNER WITH VAN KEMPEN; Walthour-Georgetti Second and Goosens-Buysse Third in Six-Day Bike Race.
2566,1924,Pinehurst Field trials DASHING MARY IS VICTOR.; Pointer Wins In Field Trials at Pinehurst -- Beulah Mae Second.
2567,1924,Marriage to Anna Mark last yr disclosed on announcement of birth of son AVERY ROCKEFELLER SECRETLY WEDDED; Grandnephew of John D. and Miss Anna Mark of Chicago Wed Over Year Ago.
2568,1924, NOTRE DAME LEAVES DEC. 20; Rockne Is Expected to Take Three Full Teams to Stanford Game.
2569,1924,Repr Aswell introduces bill BILL WOULD FORCE ALIENS TO REGISTER; House Gets Measure Providing for Identification Cards and Complete Record.
2570,1924, Sweets Company Stock Changes.
2571,1924,Conviction for violation of liquor law reversed by Judge Woolley in Court of Appeals REVERSES DRY LAW RULING.; Judge Woolley Holds Possession of Liquor Does Not Prove Guilt.
2572,1924,Sp art by F L Hoffman on need for natl soc to compile statistics NATIONAL SOCIETY URGED TO STUDY CRIME CAUSES; Better Statistics and Fuller Examination of Motives and Methods of Punishment Needed to Improve American Record
2573,1924,Signed by Pres Coolidge Coolidge Signs Deficiency Bill.
2574,1924,Col P Bunau-Varilla reports on pure water formula BUNAU-VARILLA FINDS PURE WATER FORMULA; Reports That a Small Solution of Javel Water Destroy All Microbe Life in a Reservoir.
2575,1924,Protests against pardon will be considered by State Bd of Parole; Kings Co Grand Jurors' Assn urges Gov Smith to abolish Bd as a menace BOARD TO CONSIDER CURBING BRINDELL; Will Weigh Requests That He Be Forbidden to Resume Union Leadership.
2576,1924, Branch Banks Authorized.
2577,1924,"Retires WU AND FENG RETIRE.; Leave China in Control of Tuan, Chang and Lu-Sun in Doubt."
2578,1924,N Y defeats Washington NEW YORK TRIUMPHS IN SQUASH RACQUETS; Beats Washington Team on the University Club Courts by 5 Matches to 2.
2579,1924,Golden Rule Sunday observed GOLDEN RULE DAY WIDELY OBSERVED; Many Homes Here and Abroad Serve 4-Cent Meals to Aid Near East Relief.
2580,1924," WESTERN TRADE BUYING TURNS TO NECESSITIES; Retail Lines All More Active, but Farmers Are Not Disposed to Buy ""Luxuries."""
2581,1924,"Saslow, D, salesman, robbed of $30,000 jewels $30,000 Jewels Stolen."
2582,1924,House pets of the city HOUSE PETS OF THE CITY
2583,1924," LOWER PRICES IN ENGLAND.; But Average Is Far Above Year Ago, Despite November Reduction."
2584,1924,"Cooperating AFFIDAVIT ACCUSES WEEHAWKEN BOARD IN BOOTLEGGER PLOT; All Six Committeemen Were Paid, C.D. Kirk Swears Griffin Told Him."
2585,1924,"Shot by Anna Schupic (Anna Uzupapte), who commits suicide; investigation Article 6 -- No Title"
2586,1924,SAFEGUARDING one's community is the job of every Scout. Close cooperation with police and fire departments is one way in which these boys are rendering outstanding service. In return full meed of interest and help is given them by municipal officials and employes -- from friendly Mayor down the line.   BOY SCOUTS
2587,1924,Ry workers threaten to strike unless sugar mill strike is settled Threaten Cuban Rail Strike Today.
2588,1924,Proposed amendments provide jury trials for foreigners and citizenship rights CHECKS MEXICO EXPULSIONS; Proposed Amendment Provides for Jury Trials for Foreigners.
2589,1924, Virginia Eleven Elects Diffey.
2590,1924," MAY WHEAT AT $1.65, WITH CORN AT $1. 27; Argentine Reports Give Both a Boom That Sends Them to New Highs on Crop."
2591,1924,"Lynch, J S, at Genoa LEAPS TO DEATH IN GENOA.; James S. Lynch, Young New Yorker, Was Gassed in the War."
2592,1924,"ROME, Dec. 7 (Associated Press). -- How to handle the Geneva peace protocol -- which is regarded as the great preliminary step toward world disarmament -- forms the delicate problem which faces the international statesmen when they meet tomorrow as members of the Council of the League of Nations.   Protocol the Big Problem."
2593,1924,Ed THE HAWAIIAN MANOEUVRES.
2594,1924,Sold THE BRONX MARKET.; New Owner for Tiffany Theatre and Store Property.
2595,1924,"Cooperation with Judge McAvoy in transit inquiry pledged by E J Grant MORE AID PLEDGED TO TRANSIT INQUIRY; Chamber of Commerce and Real Estate Board, Brooklyn, Endorse Governor's Action."
2596,1924,Races FLORENCE BREAKS MET. SWIM RECORD; Lowers 100-Yard Breast Stroke Time to 1:12 2-5 in New York A.C. Pool.
2597,1924,Ed INTENSIVE EXPLORATION.
2598,1924,Increase over 4-mo period INFERENCE OF TRADE FROM RISE IN STOCKS; Iron Age Finds Indication of Prolonged Business Activity Rather Than Boom.
2599,1924,Putnam Co citizens petition for restoration of century-old Court House damaged by fire WANT COURT HOUSE REBUILT; Putnam County Citizens Urge Restoration of Century-Old Building.
2600,1924, Edmonds Denies Mortimer Testimony.
2601,1924,Anniversary dinner DR. FAUNCE PLEADS FOR A BETTER RACE; Says That Our Machines Must Not Be Allowed to Outrun Our Manhood.
2602,1924,Sp art HOUSTON HOUSE WILL SHELTER WELFARE WORK FOR ALL CREEDS
2603,1924,Buys lease on 518 5th Av LATEST DEALINGS IN REALTY FIELD; Samuel Augenblick Buys Long-Term Lease on Fifth Avenue Property.
2604,1924,"Down, H, dies from poisoning caused by chicken's peck Chicken's Peck Fatal to Farmer."
2605,1924,"A RADIO follower in Springfield. Mass., explains that 2BD. Aberdeen, could not be tuned in during the transatlantic tests, although CYL, Mexico City, was ""on the air"" at the same time close to the wave of Scotland.   LISTENING-IN ON THE RADIO"
2606,1924, NURMI IS EXPECTED TO LAND TOMORROW; Great Finnish Runner to Get Flood of Invitations on His Arrival Here.
2607,1924,Sues Govt for permanent disability pay as laborer after becoming lawyer in Veterans' Vocational School ARMY-MADE LAWYER NOW SUES GOVERNMENT; Wounded Veteran Who Went to War as a Laborer Seeks Permanent Disability Pay.
2608,1924,Comr Delaney in the breach COMMISSIONER DELANEY IN THE BREACH.
2609,1924,"CHICAGO, Dec. 7. -- There was a record marketing of hogs this week, 401,000 head being sold at Chicago alone, and 1,275,000 at twenty markets, compared with 1,212,000 for the same time last year. For the year to date receipts have aggregated 38,866,000, against 40,077,000 last year.   LIVE STOCK PRICES GOOD IN SHOW WEEK; Cattle Closed at the Best, While Hogs Reacted From the High Mark."
2610,1924,Comm will visit boundary districts TO VISIT IRISH BOUNDARY.; Commission Will Begin Tour of the Country Tomorrow at Armagh.
2611,1924,London press urges revision LONDON PRESS URGE WAR DEBT REVISION; Think Americans Would Have Been Generous Had Britain Stressed Sentimental Side.
2612,1924,"High school rifle tourney Coast Golf Body Offers $7,500 for Open Golf Event"
2613,1924,Abstention of 5 powers from new Govt of Tangier prevents functioning TANGIER IS PUZZLED ABOUT ITS STATUS; Abstention of Five Powers From New Government Bodies Prevents Their Functioning.
2614,1924,Death EULOGIST Ol: WILSON TO BE DR. ALDERMAN; Head of University of' Virginia Will Speak at Capitol Services -- Coolidge to Attend.
2615,1924,"John Forman, one of the first British professionals who came to America nearly thirty years ago, left yesterday on a visit to Scotland. He is at present engaged as golf professional at the Harrisburg Park Golf Club and he will return there in the Spring, following his sojourn in Scotland.   FORMAN WILL PAY VISIT TO SCOTLAND; One of First British Golf Pros to Come to U.S. Sails for Sojourn Abroad."
2616,1924,"Rev Van R Gibson on miracles and science, lr MIRACLES AND SCIENCE"
2617,1924, WESLEYAN TO PLAY TRINITY.; Elevens to Resume Relations Next Year -- Seven Games on List.
2618,1924, Front Page 6 -- No Title
2619,1924,"HENRY FORD has purchased for his museum at the Wayside Inn, Sudbury, a sleigh stage-coach 120 years old. It once carried passengers between Boston and Worcester over the old Post Road that still passes the inn. If things on runners have a sentimental attraction for Mr. Ford, it is no more than natural, for the first Ford car was an ice-boat. By that is not meant an ice wagon, either.   Article 8 -- No Title"
2620,1924,"To appear in title role of ""Empress Eugenie,"" MME. NAMARA COMING TO CREATE NEW ROLE; American Singer Is to Appear in Title Part of 'Empress Eugenie' in New York."
2621,1924,"Dr D S Jordan awarded prize offered by R Herman for plan of education for peace JORDAN WINS AWARD ON PEACE EDUCATION; Plan of Stanford Chancellor Emeritus Gets $25,000 Prize Offered by Herman."
2622,1924, WESTERN TRAFFIC HEAVY.; Total Compares Well With Last Year's Figures.
2623,1924,Lr on arbitration and security protocol of League of Nations OUTLAWRY AND SUPERSTATE; An Interpretation of the Protocol by and American Friend of the League.
2624,1924,"Lord's Day Alliance report calls it ""most wide-open"" place in country LORD'S DAY ALLIANCE GREETS THE STAGE; Churchmen Congratulate Actors' Equity on Winning Fight for Sunday Rest."
2625,1924, GIBBONS TO MEET NORFOLK TONIGHT; Both Boxers Ready for Fifteen-Round Feature Bout of Charity Show in Garden.
2626,1924,"ANNAPOLIS, Md., Dec. 6. -- Midshipman Augustus W. Lentz of Jersey City, N.J., left guard on the Navy football eleven, was elected captain for next season at a meeting of the team held this evening. The selection is generally approved among the midshipmen.   Lentz, Former Rutgers Star, To Lead 1925 Navy Eleven"
2627,1924,Botany Worsted Mills' reports The Merchant's Point of View
2628,1924,"Madison Square Garden will be restored to its position as the headquarters of boxing this week, when Promoter Tex Rickard will conduct two fistic shows of more than ordinary importance. The first will be held Tuesday night on the occasion of The American's Christmas Fund benefit bouts, when Tom Gibbons, St. Paul light-heavyweight, and Kid Norfolk, veteran Baltimore negro, clash in a battle scheduled for fifteen rounds as the feature on an unusually attractive card.   GIBBONS WILL BOX IN GARDEN TUESDAY; St. Paul Light-Heavyweight Is Favored to Beat Kid Norfolk in Benefit Show."
2629,1924,Sp art on trip to explore Sargasso Sea MYSTERIES OF SARGASSO
2630,1924,"Maj G C G Moss describes writing story from which film is taken Author Describes Writing ""Isn't Life Wonderful?"""
2631,1924,U S Supreme Court sustains validity of Pa law PENNSYLVANIA TAX ON COAL HELD VALID; Supreme Court Backs 1 1/2 Per Cent. Assessment on Mined Anthracite.
2632,1924,Map issued by United Hospital Fund UNITED HOSPITAL FUND ISSUES UNIQUE MAP OF NEW YORK CITY
2633,1924,Sheffield Co sells holdings to Ala Power Co Sheffield Company Sells Holdings.
2634,1924,"Etchings in exhib of Bklyn Soc of Etchers, Bklyn Museum THE WORLD OF ART: Exhibitions of Etchings: A Painter From Spain by Way of France"
2635,1924,"Wm Maloney (tug), missing; Coast Guard officials believe she was sunk with crew of 11 men FEAR LIQUOR BOAT SANK WITH 11 MEN; Coast Guard Can Find No Trace of Tug William Maloney, Missing 2 Weeks."
2636,1924,"The magnificent courage of those sterling Texas cattlemen immediately after the Civil War is portrayed vividly in the picturization of the late Emerson Hough's trenchant story, ""North of 36,"" which is the feature at the Rivoli this week. And again one is stilled with pride and admiration as one harks back to the valorous deeds of rugged, resourceful Americans.There was ""The Covered Wagon,"" which told in inspiring scenes of the men and women who in defiance of danger and deprivation forged their way in primitive vehicles to the far-off Pacific coast. Then came the presentation of William Fox's ""The Iron Horse,"" which told of the same blood and brawn bending its efforts in spanning a continent with steel.This new film deals with the heroic exploit of driving 4,500 head of cattle more than a thousand miles. Two of the players who had important parts in ""The Covered Wagon,"" Lois Wilson and Ernest Torrence, are seen in leading rôles in this picture. Jack Holt impersonates Dan McMasters, the hero, and Noah Beery figures as Sim Rudabaugh, a calculating scoundrel.There are some wonderful stretches in which thousands of head of cattle are seen in a marvelous and thrilling stampede, and later being driven across a river. These sequences impart an excellent conception of the well-nigh impossible task facing the cattlemen.Irvin Willat, who produced the natural color film, ""The Wanderer of the Wasteland,"" was assigned by the producers, Famous Players-Lasky Corporation, to the task of directing ""North of 36."" In most of the stretches he has accomplished his work with marked ability, proving his cleverness in the handling of the players. But although the picture is a good one, it is by no means equal to ""The Covered Wagon."" In all its many interesting scenes there is nothing to compare with the performances of Tully Marshall and Ernest Torrence as the two lovable old scouts. Mr. Torrence, while he fills a rôle somewhat similar to that he had in ""The Covered Wagon,"" does not have the opportunity to impress his appearance upon the spectators as he did in that famous picture.One of the chief failings in this production is the lack of real suspense, which materially weakens the whole story. If the villain wishes to steal a trunk containing the land scrip, he gets hold of it with little or no difficulty. On the other hand, when it is recovered from the hero's wagon, the men who find it on that vehicle carefully refrain from questioning the driver.Although Rudabaugh fires off his pistol and causes a little commotion, he does it with impunity until the last chapter, when he is handed over to the Comanche Indians as the slayer of an Indian girl when she was bathing. In such a story the idea of picturing a girl taking her bath in a chalky stream appears to be superfluous. It is of course done to show Rudabaugh's animal nature.Dan McMasters is an old friend of the heroine's father, but to the viewer of this production he seems to fascinate Taisie Lockart in a very short time and without much reason. Miss Wilson, as Taisie, changes her attire with remarkable rapidity. One minute she is wearing rough, check-cloth knickerbockers and in the next she appears in billowing finery.Rudabaugh's eyes are constantly on the lookout for the trunk filled with land scrip, which he knows will soon be of great value. He and his followers are thwarted in their efforts to obtain the scrip. Mr. Torrence's rôle is that of foreman of Miss Lockhart's ranch. He is grim in repose but has an infectious laugh. He tells one young man to enter Taisie's abode and propose to her, and then proceeds to watch what is going on. When he glues his nose against the window pane he is very funny, and this scene brought forth much laughter from the audience.Jim Nabours (Mr. Torrence) is opposed to driving the great herd of cattle North of 36, but he is overruled by Taisie, who has heard from McMasters that the animals will be worth a fortune owing to the recent railroad facilities.Another humorous touch is where the patrons of a barroom decide to have a cock fight. The audience laughed heartily yesterday when one of the feathered fighters flew out of the ring on to the heads of the eager watchers.Miss Wilson is decidedly attractive in this picture. She is a composed and restrained heroine, even when tackled by Rudabaugh, who again engineers the stealing of the valuable trunk. Mr. Beery is competent in the heavy rôle, and Mr. Holt, is like a young Buffalo Bill, with short hair and whiskers.Although this production is not nearly as good as ""The Covered Wagon,"" it is a film of importance and one which will afford much entertainment to those who see it. THE SCREEN.; Texas Cattlemen."
2637,1924, Republicans Invade Potsdam.
2638,1924,Sen Walsh on income tax publicity SENATOR WALSH ON INCOME TAX PUBLICITY.
2639,1924,Engaged to Josephine A Remington ENGAGEMENTS. Miss Virginia J. Taite to Wed Clarence J. Blaker.
2640,1924, SOVIET'S CLAIMS OF BETTER RUSSIAN TRADE; Moscow Officially Professes Optimism Over Railway Situation and Metal Output.
2641,1924,"Annual report of Immigration Bur IMMIGRATION DOUBLED IN LAST TWO YEARS; Bureau Report Shows Increase From 309,556 in 1922 to 706,896 This Year."
2642,1924,Schedule HARVARD WILL PLAY 25 BASEBALL GAMES; Opens Season April 11 Against Boston University -- Meets Columbia Here.
2643,1924,"NEW ORLEANS, La., Dec. 6. -- Sunny skies and a fast track brought a big Saturday crowd to the Jefferson Park course this afternoon to see seven races that were as satisfactory as the weather conditions. Close finishes were frequent, and if the public choices did not always win they were rarely out of the money.   PONJOLA TRIUMPHS IN THE ST. BERNARD; Beats Monastery and Naughty Nisba in Feature Event at New Orleans."
2644,1924,"Bousfield (Mrs), E, at Hull; W G Smith faces execution despite vast agitation for reprieve Article 1 -- No Title"
2645,1924,"R Moseley arrested; another bandit sought FOUR VICTIMS SHOT IN TWO HOLD-UPS; Taxi Driver Calls Police, Who Arrest Two Men After Pistol Battle on a Roof."
2646,1924,Picture contributed to Hundred Neediest Cases drive A GOSPEL OF GIVING -- WRITTEN BY THOSE WHO GAVE LAST YEAR
2647,1924,"Progress of bond refunding program FIRST STEP A SUCCESS IN BIG BOND REFUNDING; Treasury Reports Progress in Beginning Conversion of $8,044,426,049 Into Long-Term Notes."
2648,1924,"After six grueling days of racing in the most sensational six-day bicycle grind ever witnessed in Madison Square Garden, the six-day riders will gather in the Garden today to be paid off for their week of racing. Reggie McNamara, the ""Iron Man"" of cycling, and Pete Van Kempen, the speedy Hollander, will draw the lion's share of the money as the victors, but all the stars will receive large stipends.   SIX-DAY CYCLISTS TO BE PAID TODAY; McNamara and Van Kempen Receive Congratulations on Brilliant Victory."
2649,1924,"Career Knocks Inspired Director of ""He Who Gets Slapped"""
2650,1924, DECEMBER WHEAT AT CROP'S HIGHEST; All Deliveries of Corn Only a Shade Under the Best Figure of the Season.
2651,1924,"Review of C H Dennis's book, Eugene Field's Creative Years EUGENE FIELD, MERRY WAG; Madcap Father of the Newspaper ""Colyum"" in a New Biography by an Associate of Many Years."
2652,1924, Chapman -- James.
2653,1924,His career in the Finnish Army Nurmi Began Career in Army.
2654,1924,List of recent notable benefactions Recent Benefactions Total Many Hundreds of Millions
2655,1924," GRAIN EXPORTS INCREASE.; Shipments of Wheat 2,300,000 Bushels More Than Previous Week."
2656,1924,"Art on classes at Univ Settlement House CHILDREN CREATE DANCES, INSTRUCTED ONLY BY MUSIC"
2657,1924,"League of Nations Council, at Rome meeting, decides to aid eradication Sixteenth Country Signs Protocol."
2658,1924,"Miners of Crow's Nest Pass Coal Co at Coal Creek and Fernie, B C, vote to leave United Mine Workers of America and form Canadian union Miners to Form Canadian Union."
2659,1924,Armies are ready if Gens decide to become active; Chang retires to Tientsin; declares confidence in Tuan; Tuan makes appts Article 1 -- No Title
2660,1924,"Gold supply in U S, sp art AMERICA REAPS A HARVEST OF GOLD; Half the World's Available Supply Becomes Almost an Embarrassment of Riches"
2661,1924,Succes of internal loan predicted Predict Success of French Loan.
2662,1924,Death Obituary 1 -- No Title
2663,1924," EAST'S ALL-STARS WIN.; Beat Picked Western College Eleven in Benefit Game, 13-12."
2664,1924, Missouri Approves Coast Game.
2665,1924, Article 4 -- No Title
2666,1924,Assails secret orders professing Christian aims add before Federal Council of Churches SEES SECRET ORDERS HARMING CHURCHES; Dr. Potter Assails Those Professing Christian Aims but Using un-Christian Ways.
2667,1924,Lr on news from the pulpits NEWS FROM THE PULPITS.
2668,1924,Death and career Gene Stratton Porter Dies After Auto Wreck When Los Angeles Car Strikes Her Machine
2669,1924,Estate Widow and Son Get Bugher Estate.
2670,1924,Death In Aid of Greenwich Music School.
2671,1924, Front Page 1 -- No Title
2672,1924,"Salome of the Tenements, art on filming Hundreds Throng Gigantic Setting"
2673,1924, Birth Notice 1 -- No Title
2674,1924,Bonds called for redemption TO REDEEM WATER BONDS.; Citizens' Company of Newtown to Take Up Mortgage Securities Jan. 1.
2675,1924,Catholic missionaries released CHINESE FREE PRIESTS.; Four Catholic Missionaries Captured Yesterday Are Released.
2676,1924, Racing at Havana Off Today Owing to Maceo Anniversary
2677,1924,"Accuses Grans and Witkowski in crimes THIRD MAN ARRESTED IN HAARMANN CASE; Admitting Many Murders, Defendant Accuses Others of Sharing in the Crimes."
2678,1924,Govt circles belittle agitation; blame Opposition press BELITTLE AGITATION OF REDS IN FRANCE; Government Circles Call Uprising Talk Absurd and Blame Opposition Press.
2679,1924,Memorial to Pres Harding to be erected by Kiwanis Internatl Council Pick Design for Memorial To Harding in Vancouver
2680,1924,"PATHETIC indeed has been the degeneration, upward, of the Texas cow and the Texas cowman. Only, a short four decides ago the one wore wicked spurs and high-heeled boots: the other, horns with a five-foot sweep, and both were as lithe, as active and as dangerous to fool with as a bobcat.   CATTLE KINGS PASS WITH THE VIVID WEST; Cowman Now Sits at a Desk and Sells Hornless Steers"
2681,1924,Delegation of Wash business men visit him to urge elaborate ceremony BUSINESS MEN URGE ELABORATE INAUGURAL; Washington Delegation Sees Coolidge and Asks for an Old-Time Parade and a Reception.
2682,1924,"Daughter, Mrs G Btesh, files suit against Mrs S Schneider, who is alleged to have destroyed will SAYS SISTER TORE UP WILL.; Brooklyn Woman Alleges Mother Left Home to Her."
2683,1924,Opens war on Reds; police seize 300; Chamber debate HERRIOT OPENS WAR ON REDS IN FRANCE; POLICE SEIZE 300; Seventy Foreign Agitators Taken in the Round-Up Will Be Deported at Once.
